time,rx_packets,rx_bytes,tx_packets,tx_bytes,bytes,packets,drops,overlimits,BACKLOG
4.267728805541992,66,4512,109,165026,4284891728,11683452,7960,0,18259
4.319934844970703,76,5508,107,161998,4284737300,11840908,8064,0,18499
4.372110843658447,81,5898,116,175624,4284573854,12015018,8179,0,18762
4.424923896789551,79,5706,110,165092,4284413304,12181624,8290,0,19014
4.477805852890015,70,4980,107,161998,4284252820,12345136,8398,0,19260
4.530566930770874,70,5008,110,166540,4284089308,12510162,8507,0,19509
4.583627939224243,69,4794,109,165026,4283927310,12675188,8616,0,19758
4.637345790863037,77,5430,117,177138,4283748658,12855354,8735,0,20025
4.689574956893921,77,5490,118,178652,4283579090,13030978,8851,0,20288
4.742908954620361,74,5432,108,163512,4283414064,13199032,8962,0,20542
4.795633792877197,74,5076,116,175624,4283244496,13371628,9076,0,20800
4.848244905471802,75,5454,107,161998,4283084078,13535140,9184,0,21048
4.901278972625732,77,5362,119,178718,4282911416,13710830,9301,0,21308
4.9543068408966064,74,5172,114,172596,4282738820,13884940,9416,0,21566
5.008642911911011,66,4560,108,163512,4282572280,14052994,9527,0,21819
5.061222791671753,70,4884,111,168054,4282411796,14216506,9635,0,22065
5.114131927490234,68,4704,115,174110,4282242228,14389102,9749,0,22323
5.16749382019043,72,5124,108,163512,4282077202,14557156,9860,0,22576
5.220447778701782,84,6144,111,168054,4281918232,14722182,9969,0,22829
5.27282190322876,69,4898,108,163512,4281760776,14882666,10075,0,23074
5.325314998626709,81,5990,106,160484,4281600292,15044664,10182,0,23321
5.380566835403442,78,5664,110,166540,4281418748,15232400,10306,0,23600
5.43349289894104,88,6252,133,198470,4281242988,15411188,10426,0,23867
5.486370801925659,64,4428,108,163512,4281082504,15574700,10534,0,24111
5.539339780807495,64,4440,111,168054,4280917478,15742754,10645,0,24364
5.591835975646973,63,4398,107,161998,4280755480,15906266,10753,0,24612
5.64495587348938,71,4998,110,166540,4280593482,16072806,10863,0,24862
5.697852849960327,75,5266,114,172596,4280423914,16246916,10978,0,25121
5.750525951385498,74,5252,117,177138,4280258888,16419512,11092,0,25381
5.803558826446533,74,5248,118,178652,4280083264,16598164,11210,0,25647
5.855703830718994,73,5118,110,166540,4279924360,16764704,11320,0,25896
5.908629894256592,70,4992,109,165026,4279757820,16932758,11431,0,26151
5.961996793746948,77,5574,115,172662,4279592728,17103906,11545,0,26408
6.016142845153809,87,6510,121,183194,4279406506,17296184,11672,0,26696
6.069225788116455,94,6816,129,195306,4279226340,17480892,11794,0,26978
6.122121810913086,76,5672,109,165026,4279068884,17645918,11903,0,27225
6.176101922988892,67,4678,109,165026,4278900830,17817000,12016,0,27482
6.228874921798706,85,6218,126,190764,4278719150,18003222,12139,0,27756
6.281765937805176,75,5406,109,165026,4278558666,18168248,12248,0,28003
6.334843873977661,72,5124,113,171082,4278392126,18340844,12362,0,28264
6.387799978256226,66,4620,107,161998,4278231708,18501328,12468,0,28506
6.441350936889648,85,5922,131,196886,4278034822,18699728,12600,0,28804
6.494115829467773,71,4986,109,165026,4277877366,18861726,12707,0,29048
6.547686815261841,76,5364,116,175624,4277701742,19038864,12824,0,29313
6.6070239543914795,91,7014,121,183194,4277527632,19219030,12943,0,29591
6.658782958984375,109,7846,159,240726,4277291448,19459756,13102,0,29940
6.711208820343018,70,5028,109,165026,4277127936,19627810,13213,0,30193
6.7639079093933105,89,6626,120,181680,4276955340,19807976,13332,0,30465
6.816571950912476,74,5328,109,165026,4276796370,19973002,13441,0,30712
6.869804859161377,83,6082,110,166540,4276631410,20141056,13552,0,30966
6.923829793930054,79,5934,107,161998,4276470926,20306082,13661,0,31218
6.976893901824951,78,5564,122,183260,4276295236,20486314,13781,0,31486
7.029961824417114,63,4386,107,161998,4276134752,20648312,13888,0,31728
7.0830090045928955,85,6186,127,192278,4275943988,20842104,14016,0,32018
7.135812997817993,76,5400,118,178652,4275772906,21017728,14132,0,32279
7.188394784927368,74,5124,117,177138,4275597282,21194866,14249,0,32545
7.2410078048706055,77,5610,106,160484,4275441340,21355350,14355,0,32789
7.2940309047698975,77,5646,109,165026,4275277828,21521890,14465,0,33039
7.346359968185425,83,6090,111,168054,4275112802,21688430,14575,0,33291
7.398616790771484,67,4638,106,160484,4274952384,21848914,14681,0,33531
7.4516987800598145,73,5198,120,180232,4274773736,22030660,14802,0,33802
7.504457950592041,78,5860,110,165096,4274613182,22197270,14913,0,34056
7.557085990905762,81,5826,121,183194,4274433016,22377436,15032,0,34322
7.609736919403076,68,4752,105,158970,4274277074,22536406,15137,0,34561
7.663426876068115,76,5484,105,158970,4274113562,22699918,15245,0,34809
7.716241836547852,69,4722,110,166540,4273954592,22863430,15353,0,35055
7.768752813339233,73,5238,115,174110,4273781996,23036026,15467,0,35311
